player ID, trial, timestamp, x, y, z, rotx, roty, rotz
,1,05:47:36:632,1.967114,1.08,5.056941,0,0.999982,0
,1,05:47:38:373,1.823646,1.08,-3.641977,0,0.9982752,0
,1,05:47:40:163,-0.1043123,1.08,-9.944465,0,0.9943957,0
,1,05:47:41:937,0.002262508,1.08,-18.52812,0,0.9999,0
,1,05:47:43:758,-0.8333064,1.08,-27.57611,0,0.9978769,0
,1,05:47:45:471,-1.88877,1.08,-36.08045,0,0.9986299,0
,1,05:47:47:267,-2.714877,1.08,-44.56601,0,0.9991019,0
,1,05:47:48:843,-3.115044,1.08,-49.90714,0,0.999303,0
,1,05:47:50:521,-3.836001,1.08,-54.33393,0,0.847973,0
,1,05:47:52:280,3.151389,1.08,-56.3265,0,0.7815294,0
,1,05:47:54:041,11.73475,1.08,-58.29948,0,0.784658,0
,1,05:47:55:937,17.22843,1.08,-58.40504,0,0.8799427,0
,1,05:47:57:925,26.29571,1.08,-60.98812,0,0.8027776,0
,1,05:47:59:985,36.41602,1.08,-62.22356,0,0.6205849,0
,1,05:48:01:729,40.99287,1.08,-61.75648,0,0.8141534,0
,1,05:48:03:976,51.71056,1.08,-64.18716,0,0.7374083,0
,1,05:48:05:797,54.75667,1.08,-60.82652,0,-0.0522851,0
,1,05:48:07:753,54.59062,1.08,-54.79217,0,0.1483681,0
,1,05:48:09:698,58.83474,1.08,-46.06528,0,0.2033346,0
,1,05:48:11:533,61.89604,1.08,-37.42056,0,0.1566486,0
,1,05:48:13:512,64.18258,1.08,-27.93182,0,0.1047266,0
,1,05:48:15:381,63.73457,1.08,-23.28886,0,-0.05686604,0
,1,05:48:17:253,63.31621,1.08,-19.04547,0,-0.4226771,0
,1,05:48:19:160,61.85609,1.08,-13.18886,0,-0.02039538,0
,1,05:48:20:853,63.49159,1.08,-6.666103,0,0.1247307,0
,1,05:48:22:855,65.6038,1.08,2.165485,0,0.02294902,0
,1,05:48:24:901,65.79272,1.08,12.28088,0,0.03956397,0
,1,05:48:26:874,62.99722,1.08,20.8175,0,-0.3278244,0
,1,05:48:28:534,62.28131,1.08,23.18783,0,0.137187,0
,1,05:48:30:377,62.70343,1.08,32.26548,0,-0.1620214,0
,1,05:48:32:147,60.4898,1.08,40.82392,0,-0.1196144,0
,1,05:48:33:823,58.74847,1.08,47.1255,0,-0.4587633,0
,1,05:48:35:805,50.66327,1.08,45.91703,0,-0.7244465,0
,1,05:48:37:698,42.65006,1.08,41.71833,0,-0.8726067,0
,1,05:48:39:911,38.6034,1.09,34.68608,0,-0.9710773,0
,1,05:48:42:019,35.10932,1.09,33.30399,0,-0.5116429,0
,1,05:48:44:201,29.40988,1.08,39.80855,0,-0.6878558,0
,1,05:48:46:344,23.43589,1.08,34.1425,0,-0.9951033,0
,1,05:48:48:187,23.5573,1.08,33.47876,0,-0.9992611,0
,1,05:48:50:133,17.48974,1.08,34.55986,0,-0.7152991,0
,1,05:48:51:987,8.446259,1.08,36.14768,0,-0.7055091,0
,1,05:48:53:795,-0.3167458,1.08,34.14524,0,-0.8006828,0
,1,05:48:55:692,-9.63377,1.08,33.13061,0,-0.6362675,0
,1,05:48:57:619,-18.91586,1.08,35.67548,0,-0.6147833,0
,1,05:48:59:384,-27.655,1.08,36.18784,0,-0.7285442,0
,1,05:49:01:238,-36.38613,1.08,36.44043,0,-0.5505363,0
,1,05:49:03:101,-40.24299,1.08,32.76412,0,-0.9620959,0
,1,05:49:04:963,-42.49612,1.08,23.79298,0,-0.9968601,0
,1,05:49:06:815,-44.27361,1.08,14.76018,0,-0.9976483,0
,1,05:49:08:616,-45.24089,1.08,5.812236,0,-0.9987848,0
,1,05:49:10:425,-46.09118,1.08,-3.197816,0,-0.9996862,0
,1,05:49:12:220,-46.3908,1.08,-12.17111,0,-0.999863,0
,1,05:49:14:016,-46.09474,1.08,-21.13481,0,-0.9998753,0
,1,05:49:15:800,-45.98256,1.08,-30.05544,0,-0.9999835,0
,1,05:49:17:564,-46.41421,1.08,-38.86433,0,-0.9996864,0
,1,05:49:19:319,-46.94095,1.08,-47.62756,0,-0.9991927,0
player ID, trial, timestamp, x, y, z, rotx, roty, rotz
,1,05:53:58:428,-45.1,1.08,-55.6,0,-0.168808,0
,1,05:54:00:385,-44.51666,1.08,-50.74256,0,0.1062002,0
,1,05:54:02:214,-44.91114,1.08,-51.43348,0,-0.7333334,0
,1,05:54:04:085,-44.19099,1.08,-49.95557,0,0.2832555,0
,1,05:54:06:341,-41.19278,1.08,-39.13294,0,0.1651872,0
,1,05:54:08:306,-41.61803,1.08,-29.4896,0,-0.02353789,0
,1,05:54:10:377,-43.33971,1.08,-19.34399,0,-0.1433397,0
,1,05:54:12:320,-45.70611,1.08,-9.925818,0,-0.11262,0
,1,05:54:14:241,-48.49407,1.08,-0.7457085,0,-0.1693204,0
,1,05:54:15:927,-46.40887,1.08,7.199186,0,0.1910602,0
,1,05:54:17:629,-43.67422,1.08,15.25087,0,0.1434793,0
,1,05:54:19:331,-41.61442,1.08,21.49127,0,0.2893825,0
,1,05:54:20:817,-41.61442,1.08,21.49127,0,0.2893825,0
,1,05:54:22:447,-42.06144,1.08,22.83307,0,-0.1601023,0
,1,05:54:24:488,-47.45574,1.08,30.59897,0,-0.3242511,0
,1,05:54:26:059,-47.39279,1.08,30.95469,0,0.1461289,0
,1,05:54:27:900,-45.45187,1.08,39.72166,0,-0.07051487,0
,1,05:54:30:009,-44.13864,1.08,49.95504,0,-0.03654723,0
,1,05:54:31:964,-47.21687,1.08,58.93563,0,-0.2919691,0
,1,05:54:33:856,-43.12702,1.08,61.66947,0,0.6668696,0
,1,05:54:35:894,-33.12401,1.08,63.5589,0,0.6207777,0
,1,05:54:38:103,-22.51402,1.08,62.65983,0,0.8429701,0
,1,05:54:40:019,-17.49941,1.08,60.7138,0,0.6506032,0
